,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
SPP1,3.734297695,6.836734548,13.70509535,6.38E-20,7.02E-17,34.96617623,Upregulated
CDKN2A,3.212238517,7.536336633,18.38407232,5.40E-26,4.75E-22,48.43871203,Upregulated
IGHG3,3.112089065,10.58439887,5.994682178,1.35E-07,1.83E-06,7.151603929,Upregulated
CXCL8,2.842514047,8.041736698,7.687169062,1.94E-10,7.21E-09,13.56688932,Upregulated
MMP12,2.644605479,6.990055029,8.403836459,1.21E-11,7.04E-10,16.29595629,Upregulated
DTL,2.54441866,6.905428168,12.56002827,2.95E-18,2.88E-15,31.23140868,Upregulated
KRT19,2.498214885,9.35558769,6.941312355,3.53E-09,8.84E-08,10.7212377,Upregulated
ISG15,2.492236403,8.453337258,7.97643101,6.31E-11,2.85E-09,14.67037824,Upregulated
EPCAM,2.418571564,6.414275549,7.673134291,2.05E-10,7.58E-09,13.51331143,Upregulated
RFC4,2.166867143,7.800932414,10.83151313,1.31E-15,4.12E-13,25.26147268,Upregulated
PLOD2,2.125311833,6.776104095,7.821251321,1.15E-10,4.70E-09,14.07860735,Upregulated
MCM2,2.093341653,8.35712287,13.74961206,5.52E-20,6.94E-17,35.10777567,Upregulated
DSG2,2.085264936,7.29343626,10.06398483,2.21E-14,3.81E-12,22.49069197,Upregulated
INHBA,2.034642814,6.466247668,7.616754571,2.55E-10,9.09E-09,13.29806164,Upregulated
TOP2A,2.030174564,6.518663479,8.339235324,1.55E-11,8.80E-10,16.05077126,Upregulated
IGKV1D-39,2.004628508,8.658524977,4.366354823,5.22E-05,0.000295168,1.37637901,Upregulated
AIM2,1.997553445,7.107453705,5.553333784,7.17E-07,7.52E-06,5.525108998,Upregulated
DDIT4,1.981621515,8.899809447,7.00276939,2.78E-09,7.25E-08,10.95523131,Upregulated
CEP55,1.9815884,6.273421334,8.280950772,1.94E-11,1.05E-09,15.82938323,Upregulated
CDC20,1.958342195,7.293754493,9.713954979,8.18E-14,1.00E-11,21.20529121,Upregulated
RRM2,1.946430871,7.813507518,7.75591285,1.49E-10,5.84E-09,13.82928262,Upregulated
BST2,1.917390093,8.731340361,8.959380458,1.43E-12,1.22E-10,18.39412383,Upregulated
FN1,1.903583085,8.354634083,5.305392186,1.80E-06,1.67E-05,4.627502008,Upregulated
IFI44L,1.899252576,6.387320328,5.592855883,6.18E-07,6.61E-06,5.669360876,Upregulated
KRT17,1.887996423,10.25137346,4.225093697,8.47E-05,0.000444441,0.912972062,Upregulated
UBD,1.882560271,7.012605926,6.249079811,5.11E-08,8.24E-07,8.102326856,Upregulated
IGLC1,1.875422188,10.38638039,4.277748968,7.07E-05,0.000382154,1.08478819,Upregulated
GINS1,1.873183848,6.633867526,9.740930197,7.39E-14,9.48E-12,21.30480258,Upregulated
NEK2,1.859888677,6.639065011,12.20756004,9.91E-18,6.23E-15,30.04602745,Upregulated
MELK,1.807558562,7.804277088,10.10737277,1.88E-14,3.39E-12,22.64911501,Upregulated
APOL1,1.804881502,8.302762691,8.139134948,3.36E-11,1.68E-09,15.2900737,Upregulated
S100P,1.800413215,8.792167204,3.709280852,0.000464184,0.001874416,-0.706581059,Upregulated
DLGAP5,1.792613979,5.834052549,6.566417843,1.51E-08,2.94E-07,9.298275405,Upregulated
GMNN,1.782191187,7.043356986,8.048225104,4.78E-11,2.29E-09,14.94393389,Upregulated
ASPM,1.780296837,6.714400256,6.986843024,2.95E-09,7.62E-08,10.89457762,Upregulated
IGFBP3,1.776378018,9.086137864,5.1616589,3.06E-06,2.63E-05,4.113528132,Upregulated
CDH3,1.775840261,9.205106558,6.88327694,4.42E-09,1.06E-07,10.50042644,Upregulated
MECOM,1.775723572,7.202502968,6.799823584,6.10E-09,1.37E-07,10.18320436,Upregulated
CENPF,1.743102439,7.424557178,9.763156881,6.80E-14,9.00E-12,21.38674136,Upregulated
IDO1,1.739350499,7.302890902,5.769884996,3.17E-07,3.74E-06,6.319059204,Upregulated
MCM6,1.728395887,8.514593206,11.37555734,1.85E-16,8.28E-14,27.18234525,Upregulated
PLSCR1,1.719515023,8.578323718,10.36972984,7.12E-15,1.61E-12,23.60260208,Upregulated
PRC1,1.709671655,7.686208713,7.366619099,6.75E-10,2.14E-08,12.34297944,Upregulated
MUC1,1.706141468,7.563062434,7.989008902,6.01E-11,2.74E-09,14.71831518,Upregulated
IFI6,1.701546766,7.259836277,6.448701897,2.37E-08,4.30E-07,8.853534715,Upregulated
CXCL1,1.689840385,7.131362015,4.945380494,6.74E-06,5.13E-05,3.35010348,Upregulated
HELLS,1.672047033,6.135744122,9.2347243,5.00E-13,5.00E-11,19.4257405,Upregulated
MEST,1.671405288,7.734878779,6.905909551,4.04E-09,9.83E-08,10.58651926,Upregulated
UBE2C,1.670714644,8.345688282,12.0114949,1.96E-17,1.08E-14,29.37942708,Upregulated
CDC7,1.670364424,6.300437922,10.06522115,2.20E-14,3.81E-12,22.49520901,Upregulated
GINS2,1.667037983,7.540255801,9.22191444,5.25E-13,5.08E-11,19.37788587,Upregulated
ZWINT,1.66345445,8.25403816,7.928466425,7.61E-11,3.31E-09,14.48753329,Upregulated
MCM5,1.658929614,7.284615557,12.25321794,8.46E-18,5.73E-15,30.20052107,Upregulated
IGLC2,1.641006597,9.789564549,4.120918922,0.000120379,0.000598765,0.576384023,Upregulated
CDKN3,1.639371987,7.062683639,7.077793906,2.07E-09,5.65E-08,11.24108233,Upregulated
MTHFD2,1.636418431,8.090409336,8.601994355,5.63E-12,3.75E-10,17.04661783,Upregulated
CDK1,1.633338963,7.578491509,7.297084238,8.85E-10,2.68E-08,12.07754676,Upregulated
MMP7,1.628369751,6.663002449,4.847962591,9.57E-06,6.90E-05,3.010498414,Upregulated
ENO2,1.616591233,7.008696311,8.398972237,1.23E-11,7.12E-10,16.27750224,Upregulated
CKS2,1.609597018,8.206416231,6.310585995,4.04E-08,6.69E-07,8.333346294,Upregulated
FNDC3B,1.591644237,7.782730313,6.42988525,2.55E-08,4.60E-07,8.782556748,Upregulated
NUSAP1,1.588576515,7.39614719,7.012870706,2.67E-09,7.10E-08,10.99370619,Upregulated
IGKV1-17,1.587526537,7.980561647,4.238072559,8.10E-05,0.000427547,0.955219154,Upregulated
NNMT,1.579089081,7.028837619,5.157750604,3.11E-06,2.67E-05,4.0996233,Upregulated
CCNB1,1.571404948,7.049950236,6.523815289,1.77E-08,3.38E-07,9.137183826,Upregulated
KIF4A,1.567528836,6.835097191,10.12166752,1.78E-14,3.34E-12,22.7012645,Upregulated
MLF1,1.566203406,6.746871975,6.831987871,5.39E-09,1.26E-07,10.30542255,Upregulated
HLTF,1.562985068,7.781987196,7.11425171,1.80E-09,5.02E-08,11.38005988,Upregulated
CXCL9,1.54730426,7.08190062,5.192694472,2.73E-06,2.40E-05,4.224081694,Upregulated
IGKC,1.546139114,9.674229941,4.496954797,3.32E-05,0.000200331,1.811582115,Upregulated
SMC4,1.538268473,8.020100389,7.760606783,1.46E-10,5.76E-09,13.84719669,Upregulated
KIF20A,1.530166229,6.655768761,8.152019855,3.20E-11,1.62E-09,15.33910807,Upregulated
MUC4,1.529344362,6.993309386,3.276050259,0.001772055,0.005846387,-1.964955282,Upregulated
FOXM1,1.527707133,6.669007417,10.92657487,9.30E-16,3.27E-13,25.59977619,Upregulated
PLAT,1.525731416,6.395125146,4.012926989,0.000172657,0.000813282,0.232326007,Upregulated
CFHR1,1.523023567,6.006496575,5.756194411,3.34E-07,3.91E-06,6.268616858,Upregulated
CDC25B,1.507912498,8.444839734,10.46634513,4.99E-15,1.23E-12,23.95175759,Upregulated
SLC6A8,1.504564033,7.531372947,7.105486482,1.86E-09,5.16E-08,11.34664292,Upregulated
MPZL2,-1.509230272,7.577291795,-6.515859263,1.83E-08,3.46E-07,9.107116568,Downregulated
CXCL12,-1.523141149,7.100271059,-5.264121114,2.10E-06,1.91E-05,4.479413504,Downregulated
LY6D,-1.525083913,9.836993874,-3.185165337,0.002319735,0.007331662,-2.215567101,Downregulated
ZNF91,-1.540828834,7.103846603,-6.432590647,2.52E-08,4.56E-07,8.792759716,Downregulated
TIPARP,-1.544016024,8.831637595,-6.722937185,8.22E-09,1.78E-07,9.891296504,Downregulated
PDLIM2,-1.560835779,7.756967211,-8.294156239,1.84E-11,1.02E-09,15.87955702,Downregulated
SERPINB3,-1.572899223,10.31389917,-3.437113429,0.001088276,0.003881531,-1.509080578,Downregulated
LY6G6C,-1.576994091,6.517889931,-5.608135726,5.84E-07,6.31E-06,5.725211541,Downregulated
SLC24A3,-1.581016171,6.485732786,-10.44177167,5.46E-15,1.30E-12,23.86305482,Downregulated
SERPINB1,-1.581710591,8.638915049,-6.281420401,4.51E-08,7.41E-07,8.223747883,Downregulated
CEACAM7,-1.586111556,6.963520045,-4.967854885,6.21E-06,4.77E-05,3.428839967,Downregulated
KRT10,-1.600331368,9.741980687,-6.361116209,3.32E-08,5.71E-07,8.52343996,Downregulated
GATM,-1.602022548,6.688020015,-6.678573658,9.76E-09,2.03E-07,9.723035848,Downregulated
TUBB2A,-1.620536706,8.015588623,-10.3206988,8.53E-15,1.88E-12,23.4249987,Downregulated
IL1RN,-1.636980029,8.775080669,-7.260653088,1.02E-09,3.00E-08,11.93850849,Downregulated
RAB25,-1.637134254,9.444983255,-5.074408415,4.21E-06,3.44E-05,3.804044107,Downregulated
NOD2,-1.650590232,6.444418441,-8.791488939,2.72E-12,2.15E-10,17.76220227,Downregulated
NUAK2,-1.651643813,8.081918059,-8.423686037,1.12E-11,6.67E-10,16.37124939,Downregulated
EGR3,-1.666758241,6.796320498,-6.717299349,8.40E-09,1.81E-07,9.869906292,Downregulated
BLNK,-1.686003743,6.887595737,-6.865239155,4.74E-09,1.13E-07,10.43183023,Downregulated
KRT14,-1.696182765,10.83720708,-2.599845146,0.011786435,0.02859356,-3.704295856,Downregulated
TRPS1,-1.705939859,6.451990207,-9.548410498,1.53E-13,1.74E-11,20.59301812,Downregulated
TMEM45A,-1.70902074,9.206521914,-4.611131713,2.22E-05,0.000142643,2.19707713,Downregulated
LGALSL,-1.715106382,7.035970194,-7.699167483,1.85E-10,6.94E-09,13.61269158,Downregulated
SERPINB4,-1.716730164,10.40573931,-3.31804004,0.001562495,0.005269602,-1.847533212,Downregulated
HBEGF,-1.718596322,7.27842625,-7.17645886,1.41E-09,4.03E-08,11.61728479,Downregulated
CST6,-1.74439843,6.701316558,-4.854079744,9.36E-06,6.77E-05,3.031740845,Downregulated
BNIP3,-1.746357431,7.325695385,-5.532486591,7.75E-07,8.03E-06,5.449142149,Downregulated
CLCA2,-1.758602808,8.591194389,-4.497404584,3.31E-05,0.000200331,1.813091734,Downregulated
SULT2B1,-1.762615151,6.779126885,-7.166935566,1.47E-09,4.17E-08,11.58096122,Downregulated
